Date,BTC-USD,^GSPC,^IXIC
2022-01-24,36654.328125,4410.1298828125,13855.1298828125
2022-01-25,36954.00390625,4356.4501953125,13539.2900390625
2022-01-26,36852.12109375,4349.93017578125,13542.1201171875
2022-01-27,37138.234375,4326.509765625,13352.7802734375
2022-01-28,37784.33203125,4431.85009765625,13770.5703125
2022-01-29,38138.1796875,,
2022-01-30,37917.6015625,,
2022-01-31,38483.125,4515.5498046875,14239.8798828125
2022-02-01,38743.2734375,4546.5400390625,14346.0
2022-02-02,36952.984375,4589.3798828125,14417.5498046875
2022-02-03,37154.6015625,4477.43994140625,13878.8203125
2022-02-04,41500.875,4500.52978515625,14098.009765625
2022-02-05,41441.1640625,,
2022-02-06,42412.43359375,,
2022-02-07,43840.28515625,4483.8701171875,14015.669921875
2022-02-08,44118.4453125,4521.5400390625,14194.4501953125
2022-02-09,44338.796875,4587.18017578125,14490.3701171875
2022-02-10,43565.11328125,4504.080078125,14185.6396484375
2022-02-11,42407.9375,4418.64013671875,13791.150390625
2022-02-12,42244.46875,,
2022-02-13,42197.515625,,
2022-02-14,42586.91796875,4401.669921875,13790.919921875
2022-02-15,44575.203125,4471.06982421875,14139.759765625
2022-02-16,43961.859375,4475.009765625,14124.08984375
2022-02-17,40538.01171875,4380.259765625,13716.7197265625
2022-02-18,40030.9765625,4348.8701171875,13548.0703125
2022-02-19,40122.15625,,
2022-02-20,38431.37890625,,
2022-02-21,37075.28125,,
2022-02-22,38286.02734375,4304.759765625,13381.51953125
2022-02-23,37296.5703125,4225.5,13037.490234375
2022-02-24,38332.609375,4288.7001953125,13473.58984375
2022-02-25,39214.21875,4384.64990234375,13694.6201171875
2022-02-26,39105.1484375,,
2022-02-27,37709.78515625,,
2022-02-28,43193.234375,4373.93994140625,13751.400390625
2022-03-01,44354.63671875,4306.259765625,13532.4599609375
2022-03-02,43924.1171875,4386.5400390625,13752.01953125
2022-03-03,42451.7890625,4363.490234375,13537.9404296875
2022-03-04,39137.60546875,4328.8701171875,13313.4404296875
2022-03-05,39400.5859375,,
2022-03-06,38419.984375,,
2022-03-07,38062.0390625,4201.08984375,12830.9599609375
2022-03-08,38737.26953125,4170.7001953125,12795.5498046875
2022-03-09,41982.92578125,4277.8798828125,13255.5498046875
2022-03-10,39437.4609375,4259.52001953125,13129.9599609375
2022-03-11,38794.97265625,4204.31005859375,12843.8095703125
2022-03-12,38904.01171875,,
2022-03-13,37849.6640625,,
2022-03-14,39666.75390625,4173.10986328125,12581.2197265625
2022-03-15,39338.78515625,4262.4501953125,12948.6201171875
2022-03-16,41143.9296875,4357.85986328125,13436.5498046875
2022-03-17,40951.37890625,4411.669921875,13614.7802734375
2022-03-18,41801.15625,4463.1201171875,13893.83984375
2022-03-19,42190.65234375,,
2022-03-20,41247.82421875,,
2022-03-21,41077.99609375,4461.18017578125,13838.4599609375
2022-03-22,42358.80859375,4511.60986328125,14108.8203125
2022-03-23,42892.95703125,4456.240234375,13922.599609375
2022-03-24,43960.93359375,4520.16015625,14191.83984375
2022-03-25,44348.73046875,4543.06005859375,14169.2998046875
2022-03-26,44500.828125,,
2022-03-27,46820.4921875,,
2022-03-28,47128.00390625,4575.52001953125,14354.900390625
2022-03-29,47465.73046875,4631.60009765625,14619.6396484375
2022-03-30,47062.6640625,4602.4501953125,14442.26953125
2022-03-31,45538.67578125,4530.41015625,14220.51953125
2022-04-01,46281.64453125,4545.85986328125,14261.5
2022-04-02,45868.94921875,,
2022-04-03,46453.56640625,,
2022-04-04,46622.67578125,4582.64013671875,14532.5498046875
2022-04-05,45555.9921875,4525.1201171875,14204.169921875
2022-04-06,43206.73828125,4481.14990234375,13888.8203125
2022-04-07,43503.84765625,4500.2099609375,13897.2998046875
2022-04-08,42287.6640625,4488.27978515625,13711.0
2022-04-09,42782.13671875,,
2022-04-10,42207.671875,,
2022-04-11,39521.90234375,4412.52978515625,13411.9599609375
2022-04-12,40127.18359375,4397.4501953125,13371.5703125
2022-04-13,41166.73046875,4446.58984375,13643.58984375
2022-04-14,39935.515625,4392.58984375,13351.080078125
2022-04-15,40553.46484375,,
2022-04-16,40424.484375,,
2022-04-17,39716.953125,,
2022-04-18,40826.21484375,4391.68994140625,13332.3603515625
2022-04-19,41502.75,4462.2099609375,13619.66015625
2022-04-20,41374.37890625,4459.4501953125,13453.0703125
2022-04-21,40527.36328125,4393.66015625,13174.650390625
2022-04-22,39740.3203125,4271.77978515625,12839.2900390625
2022-04-23,39486.73046875,,
2022-04-24,39469.29296875,,
2022-04-25,40458.30859375,4296.1201171875,13004.849609375
2022-04-26,38117.4609375,4175.2001953125,12490.740234375
2022-04-27,39241.12109375,4183.9599609375,12488.9296875
2022-04-28,39773.828125,4287.5,12871.5302734375
2022-04-29,38609.82421875,4131.93017578125,12334.6396484375
2022-04-30,37714.875,,
2022-05-01,38469.09375,,
2022-05-02,38529.328125,4155.3798828125,12536.01953125
2022-05-03,37750.453125,4175.47998046875,12563.759765625
2022-05-04,39698.37109375,4300.169921875,12964.8603515625
2022-05-05,36575.140625,4146.8701171875,12317.6904296875
2022-05-06,36040.921875,4123.33984375,12144.66015625
2022-05-07,35501.953125,,
2022-05-08,34059.265625,,
2022-05-09,30296.953125,3991.239990234375,11623.25
2022-05-10,31022.90625,4001.050048828125,11737.669921875
2022-05-11,28936.35546875,3935.179931640625,11364.240234375
2022-05-12,29047.751953125,3930.080078125,11370.9599609375
2022-05-13,29283.103515625,4023.889892578125,11805.0
2022-05-14,30101.265625,,
2022-05-15,31305.11328125,,
2022-05-16,29862.91796875,4008.010009765625,11662.7900390625
2022-05-17,30425.857421875,4088.85009765625,11984.51953125
2022-05-18,28720.271484375,3923.679931640625,11418.150390625
2022-05-19,30314.333984375,3900.7900390625,11388.5
2022-05-20,29200.740234375,3901.360107421875,11354.6201171875
2022-05-21,29432.2265625,,
2022-05-22,30323.72265625,,
2022-05-23,29098.91015625,3973.75,11535.26953125
2022-05-24,29655.5859375,3941.47998046875,11264.4501953125
2022-05-25,29562.361328125,3978.72998046875,11434.740234375
2022-05-26,29267.224609375,4057.840087890625,11740.650390625
2022-05-27,28627.57421875,4158.240234375,12131.1298828125
2022-05-28,28814.900390625,,
2022-05-29,29445.95703125,,
2022-05-30,31726.390625,,
2022-05-31,31792.310546875,4132.14990234375,12081.3896484375
2022-06-01,29799.080078125,4101.22998046875,11994.4599609375
2022-06-02,30467.48828125,4176.81982421875,12316.900390625
2022-06-03,29704.390625,4108.5400390625,12012.73046875
2022-06-04,29832.9140625,,
2022-06-05,29906.662109375,,
2022-06-06,31370.671875,4121.43017578125,12061.3701171875
2022-06-07,31155.478515625,4160.68017578125,12175.23046875
2022-06-08,30214.35546875,4115.77001953125,12086.26953125
2022-06-09,30111.998046875,4017.820068359375,11754.23046875
2022-06-10,29083.8046875,3900.860107421875,11340.01953125
2022-06-11,28360.810546875,,
2022-06-12,26762.6484375,,
2022-06-13,22487.388671875,3749.6298828125,10809.23046875
2022-06-14,22206.79296875,3735.47998046875,10828.349609375
2022-06-15,22572.83984375,3789.989990234375,11099.150390625
2022-06-16,20381.650390625,3666.77001953125,10646.099609375
2022-06-17,20471.482421875,3674.840087890625,10798.349609375
2022-06-18,19017.642578125,,
2022-06-19,20553.271484375,,
2022-06-20,20599.537109375,,
2022-06-21,20710.59765625,3764.7900390625,11069.2998046875
2022-06-22,19987.029296875,3759.889892578125,11053.080078125
2022-06-23,21085.876953125,3795.72998046875,11232.1904296875
2022-06-24,21231.65625,3911.739990234375,11607.6201171875
2022-06-25,21502.337890625,,
2022-06-26,21027.294921875,,
2022-06-27,20735.478515625,3900.110107421875,11524.5498046875
2022-06-28,20280.634765625,3821.550048828125,11181.5400390625
2022-06-29,20104.0234375,3818.830078125,11177.8896484375
2022-06-30,19784.7265625,3785.3798828125,11028.740234375
2022-07-01,19269.3671875,3825.330078125,11127.849609375
2022-07-02,19242.255859375,,
2022-07-03,19297.076171875,,
2022-07-04,20231.26171875,,
2022-07-05,20190.115234375,3831.389892578125,11322.240234375
2022-07-06,20548.24609375,3845.080078125,11361.849609375
2022-07-07,21637.587890625,3902.6201171875,11621.349609375
2022-07-08,21731.1171875,3899.3798828125,11635.3095703125
2022-07-09,21592.20703125,,
2022-07-10,20860.44921875,,
2022-07-11,19970.556640625,3854.429931640625,11372.599609375
2022-07-12,19323.9140625,3818.800048828125,11264.73046875
2022-07-13,20212.07421875,3801.780029296875,11247.580078125
2022-07-14,20569.919921875,3790.3798828125,11251.1904296875
2022-07-15,20836.328125,3863.159912109375,11452.419921875
2022-07-16,21190.31640625,,
2022-07-17,20779.34375,,
2022-07-18,22485.689453125,3830.85009765625,11360.0498046875
2022-07-19,23389.43359375,3936.68994140625,11713.150390625
2022-07-20,23231.732421875,3959.89990234375,11897.650390625
2022-07-21,23164.62890625,3998.949951171875,12059.6103515625
2022-07-22,22714.978515625,3961.6298828125,11834.1103515625
2022-07-23,22465.478515625,,
2022-07-24,22609.1640625,,
2022-07-25,21361.701171875,3966.840087890625,11782.669921875
2022-07-26,21239.75390625,3921.050048828125,11562.5703125
2022-07-27,22930.548828125,4023.610107421875,12032.419921875
2022-07-28,23843.88671875,4072.429931640625,12162.58984375
2022-07-29,23804.6328125,4130.2900390625,12390.6904296875
2022-07-30,23656.20703125,,
2022-07-31,23336.896484375,,
2022-08-01,23314.19921875,4118.6298828125,12368.98046875
2022-08-02,22978.1171875,4091.18994140625,12348.759765625
2022-08-03,22846.5078125,4155.169921875,12668.16015625
2022-08-04,22630.95703125,4151.93994140625,12720.580078125
2022-08-05,23289.314453125,4145.18994140625,12657.5498046875
2022-08-06,22961.279296875,,
2022-08-07,23175.890625,,
2022-08-08,23809.486328125,4140.06005859375,12644.4599609375
2022-08-09,23164.318359375,4122.47021484375,12493.9296875
2022-08-10,23947.642578125,4210.240234375,12854.7998046875
2022-08-11,23957.529296875,4207.27001953125,12779.91015625
2022-08-12,24402.818359375,4280.14990234375,13047.1904296875
2022-08-13,24424.068359375,,
2022-08-14,24319.333984375,,
2022-08-15,24136.97265625,4297.14013671875,13128.0498046875
2022-08-16,23883.291015625,4305.2001953125,13102.5498046875
2022-08-17,23335.998046875,4274.0400390625,12938.1201171875
2022-08-18,23212.73828125,4283.740234375,12965.33984375
2022-08-19,20877.552734375,4228.47998046875,12705.2197265625
2022-08-20,21166.060546875,,
2022-08-21,21534.12109375,,
2022-08-22,21398.908203125,4137.990234375,12381.5703125
2022-08-23,21528.087890625,4128.72998046875,12381.2998046875
2022-08-24,21395.01953125,4140.77001953125,12431.5302734375
2022-08-25,21600.904296875,4199.1201171875,12639.26953125
2022-08-26,20260.01953125,4057.659912109375,12141.7099609375
2022-08-27,20041.73828125,,
2022-08-28,19616.814453125,,
2022-08-29,20297.994140625,4030.610107421875,12017.669921875
2022-08-30,19796.80859375,3986.159912109375,11883.1396484375
2022-08-31,20049.763671875,3955.0,11816.2001953125
2022-09-01,20127.140625,3966.85009765625,11785.1298828125
2022-09-02,19969.771484375,3924.260009765625,11630.8603515625
2022-09-03,19832.087890625,,
2022-09-04,19986.712890625,,
2022-09-05,19812.37109375,,
2022-09-06,18837.66796875,3908.18994140625,11544.91015625
2022-09-07,19290.32421875,3979.8701171875,11791.900390625
2022-09-08,19329.833984375,4006.179931640625,11862.1298828125
2022-09-09,21381.15234375,4067.360107421875,12112.3095703125
2022-09-10,21680.5390625,,
2022-09-11,21769.255859375,,
2022-09-12,22370.44921875,4110.41015625,12266.41015625
2022-09-13,20296.70703125,3932.68994140625,11633.5703125
2022-09-14,20241.08984375,3946.010009765625,11719.6796875
2022-09-15,19701.2109375,3901.35009765625,11552.3603515625
2022-09-16,19772.583984375,3873.330078125,11448.400390625
2022-09-17,20127.576171875,,
2022-09-18,19419.505859375,,
2022-09-19,19544.12890625,3899.889892578125,11535.01953125
2022-09-20,18890.7890625,3855.929931640625,11425.0498046875
2022-09-21,18547.400390625,3789.929931640625,11220.1904296875
2022-09-22,19413.55078125,3757.989990234375,11066.8095703125
2022-09-23,19297.638671875,3693.22998046875,10867.9296875
2022-09-24,18937.01171875,,
2022-09-25,18802.09765625,,
2022-09-26,19222.671875,3655.0400390625,10802.919921875
2022-09-27,19110.546875,3647.2900390625,10829.5
2022-09-28,19426.720703125,3719.0400390625,11051.6396484375
2022-09-29,19573.05078125,3640.469970703125,10737.509765625
2022-09-30,19431.7890625,3585.6201171875,10575.6201171875
2022-10-01,19312.095703125,,
2022-10-02,19044.107421875,,
2022-10-03,19623.580078125,3678.429931640625,10815.4296875
2022-10-04,20336.84375,3790.929931640625,11176.41015625
2022-10-05,20160.716796875,3783.280029296875,11148.6396484375
2022-10-06,19955.443359375,3744.52001953125,11073.3095703125
2022-10-07,19546.849609375,3639.659912109375,10652.400390625
2022-10-08,19416.568359375,,
2022-10-09,19446.42578125,,
2022-10-10,19141.484375,3612.389892578125,10542.099609375
2022-10-11,19051.41796875,3588.840087890625,10426.1904296875
2022-10-12,19157.4453125,3577.030029296875,10417.099609375
2022-10-13,19382.904296875,3669.909912109375,10649.150390625
2022-10-14,19185.65625,3583.070068359375,10321.3896484375
2022-10-15,19067.634765625,,
2022-10-16,19268.09375,,
2022-10-17,19550.7578125,3677.949951171875,10675.7998046875
2022-10-18,19334.416015625,3719.97998046875,10772.400390625
2022-10-19,19139.53515625,3695.159912109375,10680.509765625
2022-10-20,19053.740234375,3665.780029296875,10614.83984375
2022-10-21,19172.46875,3752.75,10859.7197265625
2022-10-22,19208.189453125,,
2022-10-23,19567.0078125,,
2022-10-24,19345.572265625,3797.340087890625,10952.6103515625
2022-10-25,20095.857421875,3859.110107421875,11199.1201171875
2022-10-26,20770.44140625,3830.60009765625,10970.990234375
2022-10-27,20285.8359375,3807.300048828125,10792.669921875
2022-10-28,20595.3515625,3901.06005859375,11102.4501953125
2022-10-29,20818.4765625,,
2022-10-30,20635.603515625,,
2022-10-31,20495.7734375,3871.97998046875,10988.150390625
2022-11-01,20485.2734375,3856.10009765625,10890.849609375
2022-11-02,20159.50390625,3759.68994140625,10524.7998046875
2022-11-03,20209.98828125,3719.889892578125,10342.9404296875
2022-11-04,21147.23046875,3770.550048828125,10475.25
2022-11-05,21282.69140625,,
2022-11-06,20926.486328125,,
2022-11-07,20602.81640625,3806.800048828125,10564.51953125
2022-11-08,18541.271484375,3828.110107421875,10616.2001953125
2022-11-09,15880.7802734375,3748.570068359375,10353.169921875
2022-11-10,17586.771484375,3956.3701171875,11114.150390625
2022-11-11,17034.29296875,3992.929931640625,11323.330078125
2022-11-12,16799.185546875,,
2022-11-13,16353.365234375,,
2022-11-14,16618.19921875,3957.25,11196.2197265625
2022-11-15,16884.61328125,3991.72998046875,11358.41015625
2022-11-16,16669.439453125,3958.7900390625,11183.66015625
2022-11-17,16687.517578125,3946.56005859375,11144.9599609375
2022-11-18,16697.77734375,3965.340087890625,11146.0595703125
2022-11-19,16711.546875,,
2022-11-20,16291.83203125,,
2022-11-21,15787.2841796875,3949.93994140625,11024.509765625
2022-11-22,16189.76953125,4003.580078125,11174.41015625
2022-11-23,16610.70703125,4027.260009765625,11285.3203125
2022-11-24,16604.46484375,,
2022-11-25,16521.841796875,4026.1201171875,11226.3603515625
2022-11-26,16464.28125,,
2022-11-27,16444.626953125,,
2022-11-28,16217.322265625,3963.93994140625,11049.5
2022-11-29,16444.982421875,3957.6298828125,10983.7802734375
2022-11-30,17168.56640625,4080.110107421875,11468.0
2022-12-01,16967.1328125,4076.570068359375,11482.4501953125
2022-12-02,17088.66015625,4071.699951171875,11461.5
2022-12-03,16908.236328125,,
2022-12-04,17130.486328125,,
2022-12-05,16974.826171875,3998.840087890625,11239.9404296875
2022-12-06,17089.50390625,3941.260009765625,11014.8896484375
2022-12-07,16848.126953125,3933.919921875,10958.5498046875
2022-12-08,17233.474609375,3963.510009765625,11082.0
2022-12-09,17133.15234375,3934.3798828125,11004.6201171875
2022-12-10,17128.724609375,,
2022-12-11,17104.193359375,,
2022-12-12,17206.4375,3990.56005859375,11143.740234375
2022-12-13,17781.318359375,4019.64990234375,11256.8095703125
2022-12-14,17815.650390625,3995.320068359375,11170.8896484375
2022-12-15,17364.865234375,3895.75,10810.5302734375
2022-12-16,16647.484375,3852.360107421875,10705.41015625
2022-12-17,16795.091796875,,
2022-12-18,16757.9765625,,
2022-12-19,16439.6796875,3817.659912109375,10546.0302734375
2022-12-20,16906.3046875,3821.6201171875,10547.1103515625
2022-12-21,16817.53515625,3878.43994140625,10709.3701171875
2022-12-22,16830.341796875,3822.389892578125,10476.1201171875
2022-12-23,16796.953125,3844.820068359375,10497.8603515625
2022-12-24,16847.755859375,,
2022-12-25,16841.986328125,,
2022-12-26,16919.8046875,,
2022-12-27,16717.173828125,3829.25,10353.23046875
2022-12-28,16552.572265625,3783.219970703125,10213.2900390625
2022-12-29,16642.341796875,3849.280029296875,10478.08984375
2022-12-30,16602.5859375,3839.5,10466.48046875
2022-12-31,16547.49609375,,
2023-01-01,16625.080078125,,
2023-01-02,16688.470703125,,
2023-01-03,16679.857421875,3824.139892578125,10386.98046875
2023-01-04,16863.23828125,3852.969970703125,10458.759765625
2023-01-05,16836.736328125,3808.10009765625,10305.240234375
2023-01-06,16951.96875,3895.080078125,10569.2900390625
2023-01-07,16955.078125,,
2023-01-08,17091.14453125,,
2023-01-09,17196.5546875,3892.090087890625,10635.650390625
2023-01-10,17446.29296875,3919.25,10742.6298828125
2023-01-11,17934.896484375,3969.610107421875,10931.669921875
2023-01-12,18869.587890625,3983.169921875,11001.099609375
2023-01-13,19909.57421875,3999.090087890625,11079.16015625
2023-01-14,20976.298828125,,
2023-01-15,20880.798828125,,
2023-01-16,21169.6328125,,
2023-01-17,21161.51953125,3990.969970703125,11095.1103515625
2023-01-18,20688.78125,3928.860107421875,10957.009765625
2023-01-19,21086.79296875,3898.85009765625,10852.26953125
2023-01-20,22676.552734375,3972.610107421875,11140.4296875
2023-01-21,22777.625,,
2023-01-22,22720.416015625,,
2023-01-23,22934.431640625,4019.81005859375,11364.41015625
2023-01-24,22636.46875,4016.949951171875,11334.26953125
2023-01-25,23117.859375,4016.219970703125,11313.3603515625
2023-01-26,23032.77734375,4060.429931640625,11512.41015625
2023-01-27,23078.728515625,4070.56005859375,11621.7099609375
2023-01-28,23031.08984375,,
2023-01-29,23774.56640625,,
2023-01-30,22840.138671875,4017.77001953125,11393.8095703125
2023-01-31,23139.283203125,4076.60009765625,11584.5498046875
2023-02-01,23723.76953125,4119.2099609375,11816.3203125
2023-02-02,23471.87109375,4179.759765625,12200.8203125
2023-02-03,23449.322265625,4136.47998046875,12006.9501953125
2023-02-04,23331.84765625,,
2023-02-05,22955.666015625,,
2023-02-06,22760.109375,4111.080078125,11887.4501953125
2023-02-07,23264.291015625,4164.0,12113.7900390625
2023-02-08,22939.3984375,4117.85986328125,11910.51953125
2023-02-09,21819.0390625,4081.5,11789.580078125
2023-02-10,21651.18359375,4090.4599609375,11718.1201171875
2023-02-11,21870.875,,
2023-02-12,21788.203125,,
2023-02-13,21808.1015625,4137.2900390625,11891.7900390625
2023-02-14,22220.8046875,4136.1298828125,11960.150390625
2023-02-15,24307.841796875,4147.60009765625,12070.58984375
2023-02-16,23623.474609375,4090.409912109375,11855.830078125
2023-02-17,24565.6015625,4079.090087890625,11787.26953125
2023-02-18,24641.27734375,,
2023-02-19,24327.642578125,,
2023-02-20,24829.1484375,,
2023-02-21,24436.353515625,3997.340087890625,11492.2998046875
2023-02-22,24188.84375,3991.050048828125,11507.0703125
2023-02-23,23947.4921875,4012.320068359375,11590.400390625
2023-02-24,23198.126953125,3970.0400390625,11394.9404296875
2023-02-25,23175.375,,
2023-02-26,23561.212890625,,
2023-02-27,23522.87109375,3982.239990234375,11466.98046875
2023-02-28,23147.353515625,3970.14990234375,11455.5400390625
2023-03-01,23646.55078125,3951.389892578125,11379.48046875
2023-03-02,23475.466796875,3981.35009765625,11462.98046875
2023-03-03,22362.6796875,4045.639892578125,11689.009765625
2023-03-04,22353.349609375,,
2023-03-05,22435.513671875,,
2023-03-06,22429.7578125,4048.419921875,11675.740234375
2023-03-07,22219.76953125,3986.3701171875,11530.330078125
2023-03-08,21718.080078125,3992.010009765625,11576.0
2023-03-09,20363.021484375,3918.320068359375,11338.349609375
2023-03-10,20187.244140625,3861.590087890625,11138.8896484375
2023-03-11,20632.41015625,,
2023-03-12,22163.94921875,,
2023-03-13,24197.533203125,3855.760009765625,11188.83984375
2023-03-14,24746.07421875,3919.2900390625,11428.150390625
2023-03-15,24375.9609375,3891.929931640625,11434.0498046875
2023-03-16,25052.7890625,3960.280029296875,11717.2802734375
2023-03-17,27423.9296875,3916.639892578125,11630.509765625
2023-03-18,26965.87890625,,
2023-03-19,28038.67578125,,
2023-03-20,27767.236328125,3951.570068359375,11675.5400390625
2023-03-21,28175.81640625,4002.8701171875,11860.1103515625
2023-03-22,27307.4375,3936.969970703125,11669.9599609375
2023-03-23,28333.97265625,3948.719970703125,11787.400390625
2023-03-24,27493.28515625,3970.989990234375,11823.9599609375
2023-03-25,27494.70703125,,
2023-03-26,27994.330078125,,
2023-03-27,27139.888671875,3977.530029296875,11768.83984375
2023-03-28,27268.130859375,3971.27001953125,11716.080078125
2023-03-29,28348.44140625,4027.81005859375,11926.240234375
2023-03-30,28033.5625,4050.830078125,12013.4697265625
2023-03-31,28478.484375,4109.31005859375,12221.91015625
2023-04-01,28411.03515625,,
2023-04-02,28199.30859375,,
2023-04-03,27790.220703125,4124.509765625,12189.4501953125
2023-04-04,28168.08984375,4100.60009765625,12126.330078125
2023-04-05,28177.984375,4090.3798828125,11996.8603515625
2023-04-06,28044.140625,4105.02001953125,12087.9599609375
2023-04-07,27925.859375,,
2023-04-08,27947.794921875,,
2023-04-09,28333.05078125,,
2023-04-10,29652.98046875,4109.10986328125,12084.3603515625
2023-04-11,30235.05859375,4108.93994140625,12031.8798828125
2023-04-12,30139.052734375,4091.949951171875,11929.33984375
2023-04-13,30399.06640625,4146.22021484375,12166.26953125
2023-04-14,30485.69921875,4137.64013671875,12123.4697265625
2023-04-15,30318.49609375,,
2023-04-16,30315.35546875,,
2023-04-17,29445.044921875,4151.31982421875,12157.7197265625
2023-04-18,30397.552734375,4154.8701171875,12153.41015625
2023-04-19,28822.6796875,4154.52001953125,12157.23046875
2023-04-20,28245.98828125,4129.7900390625,12059.5595703125
2023-04-21,27276.91015625,4133.52001953125,12072.4599609375
2023-04-22,27817.5,,
2023-04-23,27591.384765625,,
